property_id,source_name,region_norm,anomaly_score,is_anomaly,fraud_score,fraud_flags,regional_context,model_version
tunisieannonce_bf62490bab22,tunisieannonce,tunis,0.168,False,3.36,[],"{""model_used"": ""tunis""}",isolation_forest_v2
mubawab_8309582,mubawab,tunis,0.0706,False,19.6,"[""no_images_high_price"", ""description_too_short""]","{""model_used"": ""tunis""}",isolation_forest_v2
affare_254124,affare,tunis,0.1234,False,7.81,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_afe994372718,tunisieannonce,tunis,0.0791,False,17.06,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_a77853c45490,tunisieannonce,tunis,0.1622,False,3.75,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_259199,affare,tunis,0.0481,False,27.66,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_a594db9e20d5,tunisieannonce,tunis,0.1356,False,6.23,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_258672,affare,tunis,0.0856,False,15.29,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_a1a09a825273,century21,tunis,0.0066,False,46.72,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
affare_259200,affare,tunis,0.0947,False,13.07,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_0ff7ae1b5e1e,tunisieannonce,tunis,0.1235,False,7.8,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_259194,affare,tunis,0.159,False,3.99,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_259193,affare,tunis,0.0407,False,30.7,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_0f72d51de091,tunisieannonce,tunis,0.1132,False,9.42,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_0f34ccae32a6,tunisieannonce,tunis,0.1828,False,2.52,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_259299,affare,tunis,0.0772,False,17.6,[],"{""model_used"": ""tunis""}",isolation_forest_v2
mubawab_8323438,mubawab,tunis,0.0644,False,21.61,"[""no_images_high_price"", ""description_too_short""]","{""model_used"": ""tunis""}",isolation_forest_v2
affare_259307,affare,tunis,0.1285,False,7.11,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_259425,affare,tunis,0.1105,False,9.89,[],"{""model_used"": ""tunis""}",isolation_forest_v2
affare_259419,affare,tunis,0.0614,False,22.66,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_43e4d8cddfd7,tunisieannonce,tunis,0.0646,False,21.54,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b8abb6a805e1,tunisieannonce,tunis,0.0498,False,26.96,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b81b9d8c8ba6,tunisieannonce,tunis,0.1823,False,2.54,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b84cb4c3f4fb,tunisieannonce,tunis,0.157,False,4.15,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b88c8bf9ce17,tunisieannonce,tunis,0.1654,False,3.53,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b893c2e92139,tunisieannonce,tunis,0.116,False,8.95,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b84e2934cda6,tunisieannonce,tunis,0.1186,False,8.53,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9a30b7d42b1,tunisieannonce,tunis,-0.0717,True,80.75,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b91ee3b67881,tunisieannonce,tunis,0.1739,False,3.0,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b93550753cf2,tunisieannonce,tunis,0.1705,False,3.2,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b949cbb58cb0,tunisieannonce,tunis,0.1147,False,9.16,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b96792813927,tunisieannonce,tunis,0.1755,False,2.9,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9a3bab8143d,tunisieannonce,tunis,0.179,False,2.71,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b92e362ba16f,tunisieannonce,tunis,0.1014,False,11.64,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b91e0636dc89,tunisieannonce,tunis,-0.0682,True,79.63,"[""rooms_surface_inconsistent""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_ba1b6ac3f7a7,tunisieannonce,tunis,0.1177,False,8.67,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9daf9c3a84c,tunisieannonce,tunis,0.1346,False,6.34,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_ba2326f25f90,tunisieannonce,tunis,0.097,False,12.55,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9ad3aed4f63,tunisieannonce,tunis,0.0978,False,12.39,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9b93dbde4fb,tunisieannonce,tunis,0.16,False,3.92,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9a69916262b,tunisieannonce,tunis,0.1751,False,2.92,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_b9c0cca6a6d0,tunisieannonce,tunis,0.1738,False,3.0,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
