property_id,source_name,price,surface,rooms,city,region,zone,municipalite,transaction_type,type,latitude,longitude,features,reliability_score,reliability_level,model_weight,is_outlier,suspected_duplicate,change_type,price_delta_pct,price_per_m2,scraped_at
affare_221112,affare,,,,El Fahs,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,garage,30,LOW,0.5,False,False,unchanged,,,2026-03-24T19:01:45.607540
affare_224230,affare,1800.0,230.0,3.0,Akouda,SOUSSE,east,Akouda,Sale,Apartment,35.8667,10.5667,Ascenseur|Parking,90,HIGH,1.5,True,False,unchanged,0.0,7.83,2026-03-24T10:37:11.016179
affare_241005,affare,175000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,70,GOOD,1.0,False,False,unchanged,0.0,,2026-03-24T19:01:38.620886
affare_223096,affare,78000.0,312.0,,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,semi-fenced|water and electricity available|title deed,100,HIGH,1.5,False,False,unchanged,0.0,250.0,2026-03-24T11:43:17.970079
affare_1737,affare,680000.0,1430.0,,Route El Ain,SFAX,east,Agareb,Sale,Land,34.7392,10.5258,"fenced|house with 5 rooms|near schools, mosque, shops, clinic, hospital",100,HIGH,1.5,False,False,unchanged,0.0,475.52,2026-03-24T12:20:36.507876
affare_241011,affare,245000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,70,GOOD,1.0,False,False,unchanged,0.0,,2026-03-24T19:01:53.199385
affare_2170,affare,90000.0,2170.0,,Sidi Bou Ali,SOUSSE,east,Sidi Bou Ali,Sale,Land,35.9833,10.4667,titled|on asphalted road,85,HIGH,1.5,True,False,unchanged,0.0,41.47,2026-03-24T16:16:52.316469
affare_243820,affare,65000.0,10000.0,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,55,LOW,0.5,True,False,unchanged,0.0,6.5,2026-03-24T19:01:32.152828
affare_240053,affare,225000.0,60.0,1.0,Ennasr,ARIANA,north,Ariana Ville,Sale,Apartment,36.866011,10.193923,Ascenseur,100,HIGH,1.5,False,False,unchanged,0.0,3750.0,2026-03-24T11:43:12.454942
affare_228212,affare,1500.0,100.0,2.0,Hammam Sousse,SOUSSE,east,Hammam Sousse,Sale,Apartment,35.8592,10.59,Ascenseur|Parking,90,HIGH,1.5,True,False,unchanged,0.0,15.0,2026-03-24T10:37:16.637707
affare_256890,affare,650.0,102.0,2.0,Mahdia,MAHDIA,east,Mahdia,Sale,Apartment,35.5044,11.0567,Ascenseur,90,HIGH,1.5,True,False,unchanged,0.0,6.37,2026-03-24T16:17:20.508985
affare_255747,affare,560000.0,148.0,3.0,Les Berges Du Lac,TUNIS,north,Jebel Jelloud,Sale,Commercial,36.7667,10.1833,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,3783.78,2026-03-24T11:42:59.668778
affare_245171,affare,3800.0,109.0,2.0,Mahdia,MAHDIA,east,Mahdia,Sale,Apartment,35.5044,11.0567,Ascenseur|Parking,90,HIGH,1.5,True,False,unchanged,0.0,34.86,2026-03-24T16:16:31.902445
affare_257145,affare,2000.0,90.0,2.0,Mahdia,MAHDIA,east,Mahdia,Rent,Apartment,35.5044,11.0567,piscine|climatisation,100,HIGH,1.5,False,False,unchanged,0.0,22.22,2026-03-24T16:17:32.303042
affare_245170,affare,2900.0,252.0,3.0,Mahdia,MAHDIA,east,Mahdia,Sale,Villa,35.5044,11.0567,Ascenseur|Parking,90,HIGH,1.5,True,False,unchanged,0.0,11.51,2026-03-24T16:16:10.976891
affare_256542,affare,460000.0,180.0,3.0,Akouda,SOUSSE,east,Akouda,Sale,Other,35.8667,10.5667,Ascenseur,100,HIGH,1.5,False,False,unchanged,0.0,2555.56,2026-03-24T10:37:06.935490
affare_248364,affare,350000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,70,GOOD,1.0,False,False,unchanged,0.0,,2026-03-24T19:01:25.382445
affare_256718,affare,780000.0,500.0,7.0,Ghazela,ARIANA,north,Ariana Ville,Sale,Land,36.866011,10.193923,jardin|garage|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1560.0,2026-03-24T12:21:31.541223
affare_248365,affare,185000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,70,GOOD,1.0,False,False,unchanged,0.0,,2026-03-24T19:01:19.295459
affare_253257,affare,600000.0,865.0,2.0,Kalâat El Andalous,ARIANA,north,Ariana Ville,Sale,Land,36.866011,10.193923,jardin|parking|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,693.64,2026-03-24T11:43:07.055998
affare_258711,affare,1500.0,70.0,1.0,Menzah,ARIANA,north,Ariana Ville,Rent,Apartment,36.866011,10.193923,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,21.43,2026-03-24T12:21:16.675673
affare_257768,affare,1100.0,70.0,,Sousse Médina,SOUSSE,east,Sidi El Heni,Sale,Commercial,35.6756,10.3106,meuble,80,GOOD,1.0,True,False,unchanged,0.0,15.71,2026-03-24T11:43:25.213579
affare_259042,affare,,130.0,3.0,Sousse Jawhara,SOUSSE,east,Sidi El Heni,Sale,Apartment,35.6756,10.3106,haut standing,90,HIGH,1.5,False,False,unchanged,,,2026-03-24T12:20:57.568441
affare_257399,affare,1320.0,70.0,1.0,Ennasr,ARIANA,north,Ariana Ville,Rent,Apartment,36.866011,10.193923,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,18.86,2026-03-24T11:42:52.644355
affare_257147,affare,1500.0,66.0,1.0,Mahdia,MAHDIA,east,Mahdia,Rent,Apartment,35.5044,11.0567,Ascenseur,100,HIGH,1.5,False,False,unchanged,0.0,22.73,2026-03-24T16:17:50.807931
affare_257858,affare,2300.0,200.0,,Sousse Médina,SOUSSE,east,Sidi El Heni,Sale,Commercial,35.6756,10.3106,meuble,80,GOOD,1.0,True,False,unchanged,0.0,11.5,2026-03-24T11:43:33.173096
affare_259041,affare,260000.0,364.0,4.0,Akouda,SOUSSE,east,Akouda,Sale,Land,35.8667,10.5667,jardin,100,HIGH,1.5,False,False,unchanged,0.0,714.29,2026-03-24T12:20:47.428682
affare_259043,affare,720000.0,500.0,3.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine|jardin|parking|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1440.0,2026-03-24T12:21:07.353888
affare_257202,affare,550.0,80.0,2.0,Mahdia,MAHDIA,east,Mahdia,Rent,Apartment,35.5044,11.0567,Ascenseur,100,HIGH,1.5,False,False,unchanged,0.0,6.88,2026-03-24T16:17:44.003285
affare_257705,affare,1600.0,120.0,2.0,Ennasr,ARIANA,north,Ariana Ville,Rent,Apartment,36.866011,10.193923,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,13.33,2026-03-24T12:21:22.592523
affare_259055,affare,760000.0,220.0,3.0,Hammamet,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine,100,HIGH,1.5,False,False,unchanged,0.0,3454.55,2026-03-24T19:00:43.541121
affare_259046,affare,410000.0,811.0,,Route El Ain,SFAX,east,Agareb,Sale,Land,34.7392,10.5258,Fenced on 3 sides|Close to schools|Mosque|Commercial area,100,HIGH,1.5,False,False,unchanged,0.0,505.55,2026-03-24T12:20:24.628256
affare_259050,affare,1050.0,580.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,90,HIGH,1.5,True,False,unchanged,0.0,1.81,2026-03-24T12:20:02.062125
affare_259054,affare,750000.0,587.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1277.68,2026-03-24T19:01:03.999676
affare_259047,affare,1300.0,1200.0,4.0,Sousse Riadh,SOUSSE,east,Sousse Riadh,Sale,Land,35.8269,10.63,Corner lot|3-sided access|Blue title|Construction permit|Development plan,95,HIGH,1.5,True,False,unchanged,0.0,1.08,2026-03-24T12:20:07.204343
affare_259052,affare,820000.0,540.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,jardin|parking|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1518.52,2026-03-24T19:01:13.040884
affare_259053,affare,850000.0,500.0,3.0,Akouda,SOUSSE,east,Akouda,Sale,Villa,35.8667,10.5667,haut standing|jardin,100,HIGH,1.5,False,False,unchanged,0.0,1700.0,2026-03-24T19:00:55.588186
affare_259049,affare,300000.0,620.0,5.0,Route El Ain,SFAX,east,Agareb,Sale,Land,34.7392,10.5258,Fenced on 3 sides|House with 5 rooms|Close to schools|Mosque|Commercial area,100,HIGH,1.5,False,False,unchanged,0.0,483.87,2026-03-24T12:20:18.114763
affare_259051,affare,2300.0,6714.0,,Grombalia,NABEUL,north,Nabeul,Sale,Land,36.4561,10.7358,Factory|Transformer (20 and 30 kVA)|Electricity|Water|Gas installation possible|Well,75,GOOD,1.0,True,False,unchanged,0.0,0.34,2026-03-24T12:20:11.808869
affare_259048,affare,740000.0,400.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1850.0,2026-03-24T12:20:30.461691
affare_259066,affare,1350.0,650.0,5.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine|jardin|parking|chauffage central|terrasse,90,HIGH,1.5,True,False,unchanged,0.0,2.08,2026-03-24T16:18:06.168014
affare_259058,affare,890000.0,500.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,haut standing|piscine|jardin|parking,100,HIGH,1.5,False,False,unchanged,0.0,1780.0,2026-03-24T19:00:22.728415
