property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
affare_136985,affare,0.0,positive,0.368,0.3,20.38,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_164918,affare,0.0,positive,0.2996,0.55,24.24,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_226648,affare,0.0,positive,0.4138,0.3,21.98,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
mubawab_8309582,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
affare_1700,affare,0.0759,neutral,0.4201,0.55,31.49,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_226855,affare,0.076,neutral,0.3345,0.55,28.5,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_237007,affare,0.0,positive,0.3041,0.55,24.39,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_2400,affare,0.3535,negative,0.4306,0.55,42.96,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_228981,affare,0.0,positive,0.3369,0.3,19.29,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_239822,affare,0.0,positive,0.3622,0.55,26.43,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_2300,affare,0.2939,negative,0.3852,0.55,38.99,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_235663,affare,0.3855,negative,0.4021,0.75,48.24,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_236234,affare,0.0,positive,0.3981,0.2,18.93,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_236238,affare,0.0,positive,0.3796,0.0,13.29,normal,[],xlm_roberta_mdeberta_v1,
affare_256718,affare,0.0,positive,0.2678,0.75,28.12,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_247788,affare,0.0898,neutral,0.2535,0.0,12.46,normal,[],xlm_roberta_mdeberta_v1,
affare_246872,affare,0.0,positive,0.4181,0.0,14.63,normal,[],xlm_roberta_mdeberta_v1,
affare_241047,affare,0.0,positive,0.4162,0.3,22.07,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_245971,affare,0.0,positive,0.3785,0.0,13.25,normal,[],xlm_roberta_mdeberta_v1,
affare_243701,affare,0.4713,negative,0.3894,0.55,46.23,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257950,affare,0.6432,negative,0.399,0.55,53.44,fraud_likely,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_246565,affare,0.0,positive,0.2314,0.25,14.35,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_241651,affare,0.0,positive,0.2942,0.75,29.05,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_248366,affare,0.0,positive,0.383,0.75,32.16,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
mubawab_8320001,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
affare_248970,affare,0.0,positive,0.3461,0.55,25.86,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_252013,affare,0.0,positive,0.3658,0.75,31.55,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_249844,affare,0.0,positive,0.4127,0.3,21.94,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_248967,affare,0.0,positive,0.3865,0.55,27.28,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_250291,affare,0.4655,negative,0.4252,0.55,47.25,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_250596,affare,0.0723,neutral,0.3308,0.75,33.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_249009,affare,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
affare_254271,affare,0.0,positive,0.3037,0.0,10.63,normal,[],xlm_roberta_mdeberta_v1,
affare_255365,affare,0.3495,negative,0.373,0.55,40.78,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_254550,affare,0.0,positive,0.4238,0.75,33.58,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_254771,affare,0.4722,negative,0.3759,0.75,50.79,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_256520,affare,0.3207,negative,0.4262,0.55,41.49,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_253269,affare,0.0,positive,0.4132,0.2,19.46,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_253769,affare,0.3066,negative,0.4169,0.0,26.86,suspect,[],xlm_roberta_mdeberta_v1,
affare_254124,affare,0.2767,negative,0.4541,0.25,33.21,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_254459,affare,0.3698,negative,0.357,0.55,41.04,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_256388,affare,0.0,positive,0.3046,0.55,24.41,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_255524,affare,0.0,positive,0.427,0.55,28.7,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_255747,affare,0.0,positive,0.2486,0.75,27.45,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_255449,affare,0.4153,negative,0.3774,0.55,43.57,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257892,affare,0.0,positive,0.4264,0.0,14.92,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_afe994372718,tunisieannonce,0.6435,negative,0.3621,0.25,44.66,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_256408,affare,0.4547,negative,0.352,0.3,38.01,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
