property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
45572,tecnocasa,0.0,positive,0.4108,0.2,19.38,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_97511,newkey,0.0,positive,0.3494,0.2,17.23,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_8ca413ec8108,tunisieannonce,0.6178,negative,0.3422,0.0,36.69,suspect,[],xlm_roberta_mdeberta_v1,
newkey_131042,newkey,0.0,positive,0.281,0.0,9.84,normal,[],xlm_roberta_mdeberta_v1,
newkey_131067,newkey,0.0,positive,0.3375,0.2,16.81,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_78799,newkey,0.0,positive,0.3387,0.2,16.85,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130868,newkey,0.0,positive,0.2906,0.2,15.17,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_95276,newkey,0.0,positive,0.3765,0.0,13.18,normal,[],xlm_roberta_mdeberta_v1,
newkey_130577,newkey,0.0,positive,0.3486,0.0,12.2,normal,[],xlm_roberta_mdeberta_v1,
newkey_131038,newkey,0.0,positive,0.3928,0.0,13.75,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_446935f3cf13,tunisieannonce,0.0,positive,0.3739,0.2,18.09,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130526,newkey,0.0,positive,0.2799,0.0,9.8,normal,[],xlm_roberta_mdeberta_v1,
newkey_130985,newkey,0.0,positive,0.329,0.25,17.77,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130815,newkey,0.0,positive,0.3706,0.2,17.97,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_256718,affare,0.0,positive,0.2678,0.75,28.12,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_129977,newkey,0.0,positive,0.3391,0.2,16.87,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130098,newkey,0.0,positive,0.3639,0.0,12.74,normal,[],xlm_roberta_mdeberta_v1,
newkey_130600,newkey,0.0,positive,0.3571,0.2,17.5,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130399,newkey,0.0,positive,0.3584,0.0,12.54,normal,[],xlm_roberta_mdeberta_v1,
newkey_130454,newkey,0.0,positive,0.3555,0.0,12.44,normal,[],xlm_roberta_mdeberta_v1,
newkey_130466,newkey,0.0,positive,0.3644,0.0,12.75,normal,[],xlm_roberta_mdeberta_v1,
newkey_130603,newkey,0.0,positive,0.3505,0.0,12.27,normal,[],xlm_roberta_mdeberta_v1,
newkey_130433,newkey,0.0,positive,0.3188,0.25,17.41,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130191,newkey,0.0,positive,0.343,0.2,17.0,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_235663,affare,0.3855,negative,0.4021,0.75,48.24,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_130136,newkey,0.0,positive,0.3292,0.0,11.52,normal,[],xlm_roberta_mdeberta_v1,
newkey_130442,newkey,0.0,positive,0.3194,0.25,17.43,normal,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_0b120cd33729,tunisieannonce,0.0,positive,0.3323,0.25,17.88,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130640,newkey,0.0,positive,0.3161,0.0,11.06,normal,[],xlm_roberta_mdeberta_v1,
newkey_130467,newkey,0.0,positive,0.3004,0.2,15.51,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_250596,affare,0.0723,neutral,0.3308,0.75,33.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_249009,affare,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
