"id","title","subtitle","price","transaction_type","property_type","location_details","municipality","surface","rooms","bedrooms","bathrooms","features","poi","description","url","image_path","images_folder","images_count","scraped_at","last_updated"
1,"S2 en vente","Tunisie","360000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,2,NULL,NULL,"{}","{}","Cet appartement est situé au rez-de-chaussée d’une résidence sécurisée et bien entretenue à La Soukra. Le hall d’entrée ouvre sur un espace de vie lumineux, avec un salon baigné de lumière naturelle grâce à ses ouvertures donnant sur un balcon. La cuisine est indépendante et entièrement équipée par une plaque de cuisson, hotte, et four. Une porte donne accès à un séchoir. Une salle d’eau est également disponible. La partie nuit comprend deux chambres à coucher avec dressing. L’appartement est équipé du chauffage central et de la climatisation en système split. Une place de parking au sous-sol est réservée aux futurs habitants.","https://www.mubawab.tn/fr/a/8294557/s2-en-vente","media\apartment\1\image_001.jpg","media\apartment\1",17,"2026-02-18 09:17:27.187609","Unknown"
2,"S2 en vente","Tunisie","592000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","131.39",2,NULL,NULL,"{}","{}","Direct promoteur, spacieux appartement S2 en rez-de-chaussée d’une superficie habitable de 131,39 m², bénéficiant d’un jardin privatif de 40 m².Dès l’entrée, vous découvrez un salon lumineux donnant accès à un jardin verdoyant.La cuisine, indépendante, est entièrement aménagée et équipée (plaque de cuisson, hotte aspirante et four), elle est climatisée, dispose d’un séchoir pratique et donne également accès au jardin.Un point d’eau est à la disposition des invitésLa partie nuit se compose de deux chambres à coucher, chacune équipée d’un dressing et d’un climatiseur, offrant un accès direct au jardin.Le bien comprend également une place de parking au sous-sol.","https://www.mubawab.tn/fr/a/8303764/s2-en-vente","media\apartment\2\image_001.jpg","media\apartment\2",22,"2026-02-18 09:17:48.807684","Unknown"
3,"S3 en vente","Tunisie","485000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,3,NULL,NULL,"{}","{}","Appartement S3 occupant le deuxième et dernier étage d’une résidence R2 avec ascenseur, bénéficiant d’une vue dégagée et situé dans un emplacement accessible et sécurisé. Il offre un excellent niveau de confort grâce à des matériaux de qualité (sanitaires soignés, boiserie de qualité, menuiserie en aluminium et stores électriques). La partie jour comprend une pièce de réception lumineuse pouvant accueillir un salon, une cuisine indépendante aménagée et équipée d’une plaque de cuisson avec espaces de rangement et séchoir, ainsi qu’une salle de douche. La partie nuit se compose de deux chambres à coucher, dont une suite parentale.L’appartement dispose également d’une cuisine secondaire aménagée au niveau du séchoir, de deux places de parking en sous-sol et est équipé d’un chauffage central ainsi que d’une climatisation centrale.","https://www.mubawab.tn/fr/a/8302133/s3-en-vente","media\apartment\3\image_001.jpg","media\apartment\3",19,"2026-02-18 09:18:05.01749","Unknown"
4,"Fabuleux appartement S2 à vendre","Tunisie","635000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","131",2,"rangement",NULL,"{}","{}","Spacieux, fonctionnels et conçus dans un style soigné, nos appartements S+2 (Salon et 2 chambres) offrent toutes les commodités nécessaires pour répondre parfaitement à vos besoins quotidiens. Ils allient confort, qualité et praticité dans un environnement harmonieux. Nous disposons encore de quelques appartements S+2, avec des surfaces variant de 129 à 131 m². « Pour d’amples informations, n'hésitez pas à nous contacter au +216 98 780 888 ou par e-mail à commercial@cipolin-immobilier.com. Site web : cipolin-immobilier.com. »","https://www.mubawab.tn/fr/pa/8270015/fabuleux-appartement-s2-%C3%A0-vendre","media\apartment\4\image_001.jpg","media\apartment\4",13,"2026-02-18 09:18:21.342337","Unknown"
5,"Appartement à vendre à Les Jardins d'El Menzah 2","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","67",NULL,NULL,NULL,"{}","{}","Ne laissez pas passer cet appartement à vendre. Superficie 67 m². Cet appartement est proposé à la vente à Les Jardins d'El Menzah 2. Très beau Jardin. La résidence est équipée d'un Ascenseur et d'un Parking. Nombreux équipements dont climatisation et piscine. Soyez le premier à visiter cet appartement en vente. Bénéficiez du calme absolu avec fenêtres en double vitrage. Dispose du chauffage central. Four encastré. Résidence gardée.","https://www.mubawab.tn/fr/pa/8247342/appartement-%C3%A0-vendre-%C3%A0-les-jardins-d-el-menzah-2","media\apartment\5\image_001.jpg","media\apartment\5",8,"2026-02-18 09:18:34.696963","Unknown"
6,"Appartement S1 RDC à vendre, Résidence MALAGA 2 La Marsa","Tunisie","390000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,1,NULL,NULL,"{}","{}","Projet exclusivement Résidentiel dénommé ""MALAGA 2"", mitoyen à La Résidence Malaga, en face de Cité Les Pins, La Marsa. Opportunités d'achat d'appartements de type S1 / S2 / S3.","https://www.mubawab.tn/fr/pa/7903086/appartement-s1-rdc-%C3%A0-vendre-r%C3%A9sidence-malaga-2-la-marsa","media\apartment\6\image_001.jpg","media\apartment\6",5,"2026-02-18 09:18:47.223129","Unknown"
7,"APT Centre Ville Tunis","Tunisie","160000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,NULL,"rangement",NULL,"{}","{}","à vendre : appartement avec titre foncier au 4ème et dernier étage situé en plein centre-ville de tunis, à l’angle de la rue ibn khaldoun (derrière la poste et la municipalité av de carthage). a côté de la garre (place barcelone) l’appartement bénéficie d’une double exposition et d’une luminosité exceptionnelle grâce à ses 4 balcons et ses 5 grandes portes-fenêtres. il se compose de : un salon avec deux pièces pouvant être converti en deux pièces, deux chambres avec ses meubles, une salle de bain équipée d’une baignoire, une cuisine. a noter : l’ascenseur de l’immeuble n’est pas en état de marche. meubles sur les photos compris. cet appartement, idéalement situé, convient aussi bien pour un usage résidentiel que professionnel.","https://www.mubawab.tn/fr/a/8293596/apt-centre-ville-tunis","media\apartment\7\image_001.jpg","media\apartment\7",7,"2026-02-18 09:18:57.5507","Unknown"
8,"Le projet immobilier Résidence Emna","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,NULL,NULL,NULL,"{}","{}","Écoles","https://www.mubawab.tn/fr/p/4086/le-projet-immobilier-r%C3%A9sidence-emna%C2%A0","media\apartment\8\image_001.jpg","media\apartment\8",4,"2026-02-18 09:19:08.672911","Unknown"
9,"Grand S3 haut standing Sahloul 4","Tunisie","447000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","163",3,"rangement",NULL,"{}","{}","Opportunité unique pour cet appartement à vendre. Prix 447 000 TND. Salon  1 suite parentale  2 chambres, 2 salles de bains 1 salle d'eau  cuisine. superficie 163 m² au 3ème étage. 2 places parking et cellier au sous-sol disponibles prix en sus. Revêtement: Marbre. Confort et sécurité avec service de conciergerie et climatisation. Venez découvrir cet appartement à vendre à Sahloul. Parfaitement équipé avec chauffage central et double vitrage. Sécurité garantie avec surveillance. Système d'antenne parabolique. Soyez le premier à visiter cet appartement en vente. Profitez d'une belle terrasse. Dispose également d'un ascenseur. Four encastré. Cuisine équipée.","https://www.mubawab.tn/fr/a/8230106/grand-s3-haut-standing-sahloul-4","media\apartment\9\image_001.jpg","media\apartment\9",13,"2026-02-18 09:19:18.420578","Unknown"
10,"A vendre un appartement en S3 de 140m² à Ennasr2","Tunisie","550000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","140",3,NULL,NULL,"{}","{}","Cet appartement est situé à Ennasr 1, au sein d’une résidence récente, sécurisée et très bien réputée. Il se trouve au 3 étage et bénéficie d’un double ascenseur. À l’entrée, on découvre un agréable salon lumineux ouvrant sur un balcon offrant une vue dégagée. La cuisine est entièrement équipée et aménagée, complétée par un séchoir et équipée d’un détecteur de fumée pour plus de sécurité. Une salle d’eau pour les invités vient compléter la partie jour. La partie nuit se compose d’une suite parentale avec dressing et salle d’eau privative, de deux chambres à coucher dotées de dressings, ainsi que d’une salle de bain commune. L’appartement est entièrement sécurisé et modernisé, il dispose d’une alarme, de caméras de surveillance, d’un vidéophone et d’un système domotique permettant de contrôler l’ensemble des installations à distance. Des climatiseurs split-system sont installés dans toutes les pièces Une place de parking est disponible au sous-sol.","https://www.mubawab.tn/fr/a/8295962/a-vendre-un-appartement-en-s3-de-140m%C2%B2-%C3%A0-ennasr2","media\apartment\10\image_001.jpg","media\apartment\10",13,"2026-02-18 09:19:31.485226","Unknown"
